DATE,IPG2211A2N
1973-06-01,46.7560
1973-07-01,48.5811
1973-08-01,50.3238
1973-09-01,49.3230
1973-10-01,46.3609
1973-11-01,47.1353
1973-12-01,48.9914
1974-01-01,52.9160
1974-02-01,50.7684
1974-03-01,48.9303
1974-04-01,46.0092
1974-05-01,44.6305
1974-06-01,46.3060
1974-07-01,49.8501
1974-08-01,50.8679
1974-09-01,47.8524
1974-10-01,46.3080
1974-11-01,46.9122
1974-12-01,51.9699
1975-01-01,54.6674
1975-02-01,53.4146
1975-03-01,51.1973
1975-04-01,48.4759
1975-05-01,45.3298
1975-06-01,46.6052
1975-07-01,49.7102
1975-08-01,51.4208
1975-09-01,48.6359
1975-10-01,45.9827
1975-11-01,46.9857
1975-12-01,53.4465
1976-01-01,59.4978
1976-02-01,55.8892
1976-03-01,51.9666
1976-04-01,47.8663
1976-05-01,45.8889
1976-06-01,48.4379
1976-07-01,51.1782
1976-08-01,52.5238
1976-09-01,50.2855
1976-10-01,48.3484
1976-11-01,52.3928
1976-12-01,59.8303
1977-01-01,65.0496
1977-02-01,60.4053
1977-03-01,54.1621
1977-04-01,49.7685
1977-05-01,48.5987
1977-06-01,51.5566
1977-07-01,54.9549
1977-08-01,55.1239
1977-09-01,52.4624
1977-10-01,50.0209
1977-11-01,51.1676
1977-12-01,58.7528
1978-01-01,64.5507
1978-02-01,63.5514
1978-03-01,57.8916
1978-04-01,50.6710
1978-05-01,49.2656
1978-06-01,52.4255
1978-07-01,54.7072
1978-08-01,56.6732
1978-09-01,54.2519
1978-10-01,51.4295
1978-11-01,53.2513
1978-12-01,59.8501
1979-01-01,67.6794
1979-02-01,67.1026
1979-03-01,60.4570
1979-04-01,54.4463
1979-05-01,50.6366
1979-06-01,52.4519
1979-07-01,54.6147
1979-08-01,56.7894
1979-09-01,53.4267
1979-10-01,51.9735
1979-11-01,53.8349
1979-12-01,59.1920
1980-01-01,64.3987
1980-02-01,63.7904
1980-03-01,59.9521
1980-04-01,52.2973
1980-05-01,49.0346
1980-06-01,51.6215
1980-07-01,57.6258
1980-08-01,59.4805
1980-09-01,56.8465
1980-10-01,53.9128
1980-11-01,55.5753
1980-12-01,62.4358
1981-01-01,68.1678
1981-02-01,62.6196
1981-03-01,59.1450
1981-04-01,53.2817
1981-05-01,51.4139
1981-06-01,55.5855
1981-07-01,59.6471
1981-08-01,59.6747
1981-09-01,55.4668
1981-10-01,53.8089
1981-11-01,54.8425
1981-12-01,62.4442
1982-01-01,69.5895
1982-02-01,63.3028
1982-03-01,58.8835
1982-04-01,53.3098
1982-05-01,49.1272
1982-06-01,51.9405
1982-07-01,55.8273
1982-08-01,56.3755
1982-09-01,53.2360
1982-10-01,50.9791
1982-11-01,53.3168
1982-12-01,57.9583
1983-01-01,65.0593
1983-02-01,58.3497
1983-03-01,56.5283
1983-04-01,52.2451
1983-05-01,48.4962
1983-06-01,51.0005
1983-07-01,57.1338
1983-08-01,60.7354
1983-09-01,57.0016
1983-10-01,53.0175
1983-11-01,55.0027
1983-12-01,64.6841
1984-01-01,72.2038
1984-02-01,65.2854
1984-03-01,62.3482
1984-04-01,56.5979
1984-05-01,54.3255
1984-06-01,57.0555
1984-07-01,59.7598
1984-08-01,61.4134
1984-09-01,57.2002
1984-10-01,53.8902
1984-11-01,56.3005
1984-12-01,62.3898
1985-01-01,71.5803
1985-02-01,69.7765
1985-03-01,61.6718
1985-04-01,56.7450
1985-05-01,54.6184
1985-06-01,57.3581
1985-07-01,61.8326
1985-08-01,62.4616
1985-09-01,59.8637
1985-10-01,55.6351
1985-11-01,57.2976
1985-12-01,67.8854
1986-01-01,72.4454
1986-02-01,67.1939
1986-03-01,61.5073
1986-04-01,56.3809
1986-05-01,55.1666
1986-06-01,59.1818
1986-07-01,64.9709
1986-08-01,63.7233
1986-09-01,60.2987
1986-10-01,56.8679
1986-11-01,58.6343
1986-12-01,67.3292
1987-01-01,72.9198
1987-02-01,69.2023
1987-03-01,64.8042
1987-04-01,59.4091
1987-05-01,58.1291
1987-06-01,63.0632
1987-07-01,67.9835
1987-08-01,69.1786
1987-09-01,63.3348
1987-10-01,59.6377
1987-11-01,61.6954
1987-12-01,69.7318
1988-01-01,78.9306
1988-02-01,75.2834
1988-03-01,69.5145
1988-04-01,62.5526
1988-05-01,60.7369
1988-06-01,66.3569
1988-07-01,72.1677
1988-08-01,74.9055
1988-09-01,66.7883
1988-10-01,62.5841
1988-11-01,64.3731
1988-12-01,73.0342
1989-01-01,77.0604
1989-02-01,75.7797
1989-03-01,72.4980
1989-04-01,64.3280
1989-05-01,62.9304
1989-06-01,67.6513
1989-07-01,73.1555
1989-08-01,74.1583
1989-09-01,68.4799
1989-10-01,65.0743
1989-11-01,68.2022
1989-12-01,83.0814
1990-01-01,83.2897
1990-02-01,76.1676
1990-03-01,72.2190
1990-04-01,66.3566
1990-05-01,64.9348
1990-06-01,70.4849
1990-07-01,75.5873
1990-08-01,76.0718
1990-09-01,72.0909
1990-10-01,66.5317
1990-11-01,67.6641
1990-12-01,76.6857
1991-01-01,84.9561
1991-02-01,76.6189
1991-03-01,72.5012
1991-04-01,66.3491
1991-05-01,67.9911
1991-06-01,73.9580
1991-07-01,79.1383
1991-08-01,78.2023
1991-09-01,72.6891
1991-10-01,67.9053
1991-11-01,71.6039
1991-12-01,78.5053
1992-01-01,84.2065
1992-02-01,79.1228
1992-03-01,73.5141
1992-04-01,68.6776
1992-05-01,66.2541
1992-06-01,70.2284
1992-07-01,76.4342
1992-08-01,75.5086
1992-09-01,71.3733
1992-10-01,68.0972
1992-11-01,72.5045
1992-12-01,83.3943
1993-01-01,86.8119
1993-02-01,83.4645
1993-03-01,78.4739
1993-04-01,70.2149
1993-05-01,66.9185
1993-06-01,73.4686
1993-07-01,81.1460
1993-08-01,81.1040
1993-09-01,73.7580
1993-10-01,68.8870
1993-11-01,73.5969
1993-12-01,83.3304
1994-01-01,93.1624
1994-02-01,86.2650
1994-03-01,78.4329
1994-04-01,70.2386
1994-05-01,68.6652
1994-06-01,77.1547
1994-07-01,82.4132
1994-08-01,81.0353
1994-09-01,74.9041
1994-10-01,70.5198
1994-11-01,74.4463
1994-12-01,83.8888
1995-01-01,91.4090
1995-02-01,86.3801
1995-03-01,80.3090
1995-04-01,72.9404
1995-05-01,72.4053
1995-06-01,77.3813
1995-07-01,84.9574
1995-08-01,88.4651
1995-09-01,77.5640
1995-10-01,72.8241
1995-11-01,78.6935
1995-12-01,89.7517
1996-01-01,97.8432
1996-02-01,91.8629
1996-03-01,86.0078
1996-04-01,76.4148
1996-05-01,75.8819
1996-06-01,81.0672
1996-07-01,85.0422
1996-08-01,85.6201
1996-09-01,78.3381
1996-10-01,73.8721
1996-11-01,80.1767
1996-12-01,89.4833
1997-01-01,97.3311
1997-02-01,88.7161
1997-03-01,82.0012
1997-04-01,75.1942
1997-05-01,72.9165
1997-06-01,78.7587
1997-07-01,87.3277
1997-08-01,86.6719
1997-09-01,80.8944
1997-10-01,76.4985
1997-11-01,80.9511
1997-12-01,90.8492
1998-01-01,93.5061
1998-02-01,86.6416
1998-03-01,85.3974
1998-04-01,75.7396
1998-05-01,77.0086
1998-06-01,85.3224
1998-07-01,92.6020
1998-08-01,92.2983
1998-09-01,86.3944
1998-10-01,79.0597
1998-11-01,80.3989
1998-12-01,90.5386
1999-01-01,100.8943
1999-02-01,90.0840
1999-03-01,89.6526
1999-04-01,79.5278
1999-05-01,78.4257
1999-06-01,86.7751
1999-07-01,96.2772
1999-08-01,95.2123
1999-09-01,86.1335
1999-10-01,79.6004
1999-11-01,81.1332
1999-12-01,93.2421
2000-01-01,100.8058
2000-02-01,92.9455
2000-03-01,86.8678
2000-04-01,80.2984
2000-05-01,83.3079
2000-06-01,89.8032
2000-07-01,94.6927
2000-08-01,98.0112
2000-09-01,89.4396
2000-10-01,82.0015
2000-11-01,86.8121
2000-12-01,101.0659
2001-01-01,107.6689
2001-02-01,95.9417
2001-03-01,91.6944
2001-04-01,81.9217
2001-05-01,81.5748
2001-06-01,89.3416
2001-07-01,94.9218
2001-08-01,98.3538
2001-09-01,87.2163
2001-10-01,81.6792
2001-11-01,81.9048
2001-12-01,91.8518
2002-01-01,101.6247
2002-02-01,93.9032
2002-03-01,91.9505
2002-04-01,84.6064
2002-05-01,84.0688
2002-06-01,91.9201
2002-07-01,100.9793
2002-08-01,100.2178
2002-09-01,92.0127
2002-10-01,85.6930
2002-11-01,87.3563
2002-12-01,99.4389
2003-01-01,108.7455
2003-02-01,102.5621
2003-03-01,93.4640
2003-04-01,84.1310
2003-05-01,84.5602
2003-06-01,90.1091
2003-07-01,101.1055
2003-08-01,103.3150
2003-09-01,91.8841
2003-10-01,85.5463
2003-11-01,87.5965
2003-12-01,102.3736
2004-01-01,112.3859
2004-02-01,104.8992
2004-03-01,94.2528
2004-04-01,85.6897
2004-05-01,87.9920
2004-06-01,94.3844
2004-07-01,100.5841
2004-08-01,99.0100
2004-09-01,92.9081
2004-10-01,86.4832
2004-11-01,88.5208
2004-12-01,104.4579
2005-01-01,109.8799
2005-02-01,100.5318
2005-03-01,97.8611
2005-04-01,85.4785
2005-05-01,86.1655
2005-06-01,98.3542
2005-07-01,107.2906
2005-08-01,108.4607
